Month,Month,Time of Day,Average Distance (km),,,,,
3,March,Morning,5.46481,,,,,
3,March,Afternoon,5.55743,,,,,
3,March,Evening,5.33838,,,,,
3,March,Night,5.34571,,,,,
4,April,Morning,5.94236,,,,,
4,April,Afternoon,5.84084,,,,,
4,April,Evening,6.42905,,,,,
4,April,Night,6.31632,,,,,
5,May,Morning,4.81731,,,,,
5,May,Afternoon,4.76879,,,,,
5,May,Evening,4.44943,,,,,
5,May,Night,4.66777,,,,,
6,June,Morning,3.68337,,,,,
6,June,Afternoon,3.57588,,,,,
6,June,Evening,3.20793,,,,,
6,June,Night,3.19703,,,,,
7,July,Morning,6.03009,,,,,
7,July,Afternoon,5.99562,,,,,
7,July,Evening,6.04179,,,,,
7,July,Night,6.23777,,,,,
8,August,Morning,4.83947,,,,,
8,August,Afternoon,4.76248,,,,,
8,August,Evening,4.87497,,,,,
8,August,Night,4.98786,,,,,
9,September,Morning,5.42367,,,,,
9,September,Afternoon,5.54619,,,,,
9,September,Evening,5.92216,,,,,
9,September,Night,5.64252,,,,,
10,October,Morning,5.36159,,,,,
10,October,Afternoon,5.159,,,,,
10,October,Evening,5.24738,,,,,
10,October,Night,5.53367,,,,,
11,November,Morning,6.10262,,,,,
11,November,Afternoon,6.02506,,,,,
11,November,Evening,6.52966,,,,,
11,November,Night,6.54099,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, 64q
